Season,Player,Position,Team
1957,Jim Brown,Running back,Cleveland Browns
1958,Jim Brown (2),Running back,Cleveland Browns
1958,Gino Marchetti,Defensive end,Baltimore Colts
1959,Johnny Unitas,Quarterback,Baltimore Colts
1959,Charlie Conerly,Quarterback,New York Giants
1960,Norm Van Brocklin,Quarterback,Philadelphia Eagles
1960,Joe Schmidt,Linebacker,Detroit Lions
1961,Paul Hornung,Running back,Green Bay Packers
1962,Jim Taylor,Running back,Green Bay Packers
1963,Y. A. Tittle,Quarterback,New York Giants
1964,Johnny Unitas (2),Quarterback,Baltimore Colts
1965,Jim Brown (3),Running back,Cleveland Browns
1966,Bart Starr,Quarterback,Green Bay Packers
1967,Johnny Unitas (3),Quarterback,Baltimore Colts
1968,Earl Morrall,Quarterback,Baltimore Colts
1969,Roman Gabriel,Quarterback,Los Angeles Rams
1970,John Brodie,Quarterback,San Francisco 49ers
1971,Alan Page,Defensive tackle,Minnesota Vikings
1972,Larry Brown,Running back,Washington Redskins
1973,O. J. Simpson,Running back,Buffalo Bills
1974,Ken Stabler,Quarterback,Oakland Raiders
1975,Fran Tarkenton,Quarterback,Minnesota Vikings
1976,Bert Jones,Quarterback,Baltimore Colts
1977,Walter Payton,Running back,Chicago Bears
1978,Terry Bradshaw,Quarterback,Pittsburgh Steelers
1979,Earl Campbell,Running back,Houston Oilers
1980,Brian Sipe,Quarterback,Cleveland Browns
1981,Ken Anderson,Quarterback,Cincinnati Bengals
1982,Mark Moseley,Placekicker,Washington Redskins
1983,Joe Theismann,Quarterback,Washington Redskins
1984,Dan Marino,Quarterback,Miami Dolphins
1985,Marcus Allen,Running back,Los Angeles Raiders
1986,Lawrence Taylor,Linebacker,New York Giants
1987,John Elway,Quarterback,Denver Broncos
1988,Boomer Esiason,Quarterback,Cincinnati Bengals
1989,Joe Montana,Quarterback,San Francisco 49ers
1990,Joe Montana (2),Quarterback,San Francisco 49ers
1991,Thurman Thomas,Running back,Buffalo Bills
1992,Steve Young,Quarterback,San Francisco 49ers
1993,Emmitt Smith,Running back,Dallas Cowboys
1994,Steve Young (2),Quarterback,San Francisco 49ers
1995,Brett Favre,Quarterback,Green Bay Packers
1996,Brett Favre (2),Quarterback,Green Bay Packers
1997,Brett Favre (3),Quarterback,Green Bay Packers
1997,Barry Sanders,Running back,Detroit Lions
1998,Terrell Davis,Running back,Denver Broncos
1999,Kurt Warner,Quarterback,St. Louis Rams
2000,Marshall Faulk,Running back,St. Louis Rams
2001,Kurt Warner (2),Quarterback,St. Louis Rams
2002,Rich Gannon,Quarterback,Oakland Raiders
2003,Peyton Manning,Quarterback,Indianapolis Colts
2003,Steve McNair,Quarterback,Tennessee Titans
2004,Peyton Manning (2),Quarterback,Indianapolis Colts
2005,Shaun Alexander,Running back,Seattle Seahawks
2006,LaDainian Tomlinson,Running back,San Diego Chargers
2007,Tom Brady,Quarterback,New England Patriots
2008,Peyton Manning (3),Quarterback,Indianapolis Colts
2009,Peyton Manning (4),Quarterback,Indianapolis Colts
2010,Tom Brady (2),Quarterback,New England Patriots
2011,Aaron Rodgers,Quarterback,Green Bay Packers
2012,Adrian Peterson,Running back,Minnesota Vikings
2013,Peyton Manning (5),Quarterback,Denver Broncos
2014,Aaron Rodgers (2),Quarterback,Green Bay Packers
2015,Cam Newton,Quarterback,Carolina Panthers
2016,Matt Ryan,Quarterback,Atlanta Falcons
2017,Tom Brady (3),Quarterback,New England Patriots
2018,Patrick Mahomes,Quarterback,Kansas City Chiefs
2019,Lamar Jackson,Quarterback,Baltimore Ravens
2020,Aaron Rodgers (3),Quarterback,Green Bay Packers
2021,Aaron Rodgers (4),Quarterback,Green Bay Packers
